This file was created by CMPT_IND_RETS using the 202411 CRSP database.
It contains value- and equal-weighted returns for 48 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
Date,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Comps,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
201911,  -0.68,   3.43,  -0.18,  -0.60,   5.52,   4.12,   6.41,  -0.79,  -1.33,   4.56,   8.27,   4.66,   5.67,   3.79,  -0.36,  -2.26,   4.59,   1.90,   6.08,  -4.44,   2.97,   8.91,   3.13,   6.15,  11.72,   5.52,  -2.70,   5.97,  -9.79,   1.20,  -2.14,   2.48,   0.89,   5.19,   0.59,   5.94,   5.21,   3.60,   1.80,   2.77,   4.17,   2.06,   2.69,   5.04,   6.51,   6.90,   7.19,   4.41
201912,  11.14,   3.06,   3.97,   1.39,   3.22,  -1.02,   4.91,   3.26,   2.59,   7.58,   3.10,   1.24,   4.08,   1.33,   3.02,  -3.37,   2.44,  -2.65,   0.78,  11.65,   3.86,   2.38,   7.51,  -5.29,   0.29,  -0.31,  14.83,   8.29,   0.65,   6.24,   4.11,   1.04,   3.27,   1.80,   3.98,   7.32,   4.09,   2.71,   0.59,  -0.22,   2.44,   1.21,   2.27,   3.25,   2.21,   5.58,   0.79,   1.73
202001,  -3.31,  -1.38,   5.21,   2.70,  -3.66,  -3.37,   1.01,  -4.34,   0.39,  -5.41,   0.62,  -0.96,  -2.46,  -7.59,  -3.03,  -4.55,  -1.28,   5.89, -15.31,  -7.41,  -5.10,  -4.38,   9.45,   0.19,  -2.34,   9.72,   1.63,  -9.02, -23.13, -11.91,   4.83,  -2.11,  -2.37,   5.16,  -1.51,   2.25,  -2.48,  -6.04,  -0.97,  -0.15,  -2.99,   1.14,   1.50,  -3.70,  -2.86,  -1.86,   2.98,   0.82
202002,  -6.11,  -9.30,  -8.19,  -7.47,  -6.71, -17.11,  -3.68,  -6.65,  -8.46,  -9.54,  -5.01,  -7.65,  -4.77,  -9.77,  -8.13,  -8.15,  -8.43,  -8.66, -10.51, -10.60,  -5.31,  -6.49,  -6.24, -12.12, -10.94, -12.10,  -2.85, -12.11,  -8.73, -15.40,  -9.85,  -6.21,  -7.14,  -5.55, -10.68,  -8.83,  -8.32,  -7.42,  -7.22, -10.89,  -9.37,  -6.03,  -9.36, -11.49,  -8.88, -10.05, -10.47,  -8.43
202003, -11.12,  -4.24, -15.44,  -9.92,  -6.76, -18.85, -16.29, -22.65,  -6.75, -19.46, -18.59, -11.44,  -2.39, -17.27,  -9.39, -36.03, -25.63, -32.14, -22.21, -33.71, -17.49, -21.07, -24.03, -35.80, -23.55,  -8.43,  -0.33, -18.95, -40.89, -34.66, -12.94, -13.30, -25.30, -11.12,  -8.38,  -8.96,  -8.24,  -9.71,  -9.69, -16.81, -17.82,  -4.48, -22.12, -23.90, -12.74, -35.95, -16.86, -14.99
202004,   9.59,   8.60,   4.76,  10.94,   1.98,  18.03,  14.67,   8.39,  10.26,  11.13,  15.66,  13.86,  13.24,  16.77,  18.29,  13.19,  13.44,  22.00,  11.63,  11.32,   9.74,  14.58,  28.88,   7.04,  12.81,  13.71,  31.84,  12.34,  17.95,  32.89,   5.08,   9.51,  10.11,  16.00,   9.35,  14.82,  16.10,  10.49,   7.71,   8.62,  12.51,  18.79,  18.67,  11.41,  11.85,  12.81,  13.70,   2.31
202005,   5.10,   3.67,   4.06,   0.92,  -1.21,   1.58,   3.36,  11.78,   2.12,  11.49,   4.51,   5.24,   3.87,   9.22,  10.30,   8.04,  11.36,  15.01,   5.82,   4.34,   7.10,   9.59,   9.36,   5.16,   8.36,   1.03,  -0.34,   4.70,   3.17,   0.52,   4.60,   4.81,   5.09,   7.83,   9.91,   7.87,   7.10,   2.85,   3.06,   8.05,   8.12,   4.28,   2.59,   2.82,   3.75,   5.54,   6.11,   0.61
202006,  -2.56,  -0.29,  -3.26,   0.35,  -0.72,   9.14,   2.55,   1.31,   1.97,   2.99,  -2.83,  -1.58,  -1.32,   0.83,   3.78,   5.79,   5.18,   2.14,   4.64,  14.43,   4.84,   5.22,  16.11,   6.93,  -4.94,  -3.85,   5.41,  11.43,  -6.41,  -0.39,  -5.00,  -2.62,  -2.11,   5.18,  -1.28,   8.96,   2.86,   0.96,  -0.81,   1.12,   1.19,   5.58,  -2.36,  -0.27,  -1.37,   4.70,   0.73,  -1.88
202007,   5.69,   5.98,   6.97,   5.43,   7.78,  15.05,   4.39,   5.01,   7.76,   0.66,  16.52,  11.01,   1.40,   7.24,  11.81, -18.95,   6.64,  13.22,   2.24,  21.65,   8.90,   8.87,  20.41,  -7.94,   3.91,   3.01,  15.06,   6.02,   6.54,  -4.82,   6.35,   5.05,   7.20,   5.12,   3.08,  10.38,  10.45,  -0.05,   3.54,   6.48,   5.20,  10.36,   4.35,   0.78,   3.69,  -0.88,   3.09,   6.26
202008,  -0.37,   3.45,   5.61,   2.61,   4.77,   7.51,  12.49,   3.64,   4.83,  12.21,   0.92,   3.49,   2.05,   5.03,   6.17,  12.55,   8.00,   7.23,   8.26,  -0.55,   4.76,  12.29,  47.55,   8.86,   0.29,   3.39,  -1.98,   9.86,   2.13,  -1.14,  -2.24,   5.60,   7.29,   9.31,  -4.04,  16.37,   1.76,   6.38,   7.12,  13.02,   5.11,   8.02,  12.24,   6.43,   2.20,  11.73,   4.12,   9.99
